time/fps,Episode,time/time_elapsed,time/total_timesteps,Reward,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/learning_rate,Loss
276,88,31,8800,271404.0,8.8845685e-05,0.2,870,0.0,-0.0004239844441144669,200233.046875,-1.3103245556354524,3.784894943237305e-05,0.0003,86793.453125
276,89,32,8900,274449.0,0.00017741075,0.2,880,0.0,-0.0022802738367317943,212539.01875,-1.3233317255973815,-2.3126602172851562e-05,0.0003,102268.796875
276,90,32,9000,277326.0,9.693242e-05,0.2,890,0.0,-0.0010859455239824456,222524.559375,-1.3202538788318634,2.467632293701172e-05,0.0003,95003.21875
276,91,32,9100,280602.0,0.00019547416,0.2,900,0.0,-0.0025926231154699054,181924.43984375,-1.3110173881053924,8.52346420288086e-05,0.0003,89221.265625
276,92,33,9200,284223.0,0.00016052829,0.2,910,0.0,-0.0017617391266867345,382751.21875,-1.2816823720932007,3.93986701965332e-05,0.0003,231711.296875
276,93,33,9300,287622.0,2.6417121e-05,0.2,920,0.0,-0.0005272203219647053,389142.834375,-1.308977836370468,0.00010114908218383789,0.0003,220249.140625
276,94,34,9400,291171.0,6.9904505e-05,0.2,930,0.0,-0.0017163403914310037,308254.4625,-1.294162344932556,0.00017243623733520508,0.0003,167936.640625
276,95,34,9500,293182.0,0.00020128969,0.2,940,0.0,-0.00376118031272199,337991.2078125,-1.2794822871685028,6.80088996887207e-05,0.0003,163078.71875
276,96,34,9600,295813.0,0.00015639249,0.2,950,0.0,-0.002276539773447439,126304.121875,-1.2889824032783508,-2.777576446533203e-05,0.0003,85257.96875
276,97,35,9700,298894.0,0.00013911378,0.2,960,0.0,-0.0017170422735944158,232182.4328125,-1.3000225722789764,0.00014966726303100586,0.0003,93718.484375
276,98,35,9800,301386.0,0.00016827266,0.2,970,0.0,-0.0014834779353350314,215767.04609375,-1.2722164690494537,0.00010222196578979492,0.0003,133497.421875
276,99,35,9900,304363.0,0.00030084664,0.2,980,0.0,-0.0024465501541271807,189196.28515625,-1.2693803787231446,4.00543212890625e-05,0.0003,81714.9140625
276,100,36,10000,308217.0,0.0002719608,0.2,990,0.0,-0.0009296051794080995,210693.93984375,-1.2867396414279937,0.00014132261276245117,0.0003,96286.15625
276,101,36,10100,310002.0,2.8923827e-05,0.2,1000,0.0,-0.0010201427038737166,328954.8734375,-1.2861187756061554,3.415346145629883e-05,0.0003,133507.203125
276,102,36,10200,312324.0,6.0836734e-05,0.2,1010,0.0,-0.0012327692720646155,78541.036328125,-1.2865303814411164,0.00012034177780151367,0.0003,40982.64453125
277,103,37,10300,314651.0,0.00015235676,0.2,1020,0.0,-0.0024274750861877693,164709.643359375,-1.2997452199459076,0.00013691186904907227,0.0003,80790.03125
276,104,37,10400,318194.0,0.0018996357,0.2,1030,0.0,-0.010750365824787878,160475.828125,-1.2806560695171356,1.9729137420654297e-05,0.0003,97529.8203125
276,105,37,10500,321097.0,0.00075213984,0.2,1040,0.0,-0.0031383053319586907,271769.87734375,-1.2581353664398194,6.794929504394531e-06,0.0003,127969.1171875
276,106,38,10600,323306.0,9.236035e-05,0.2,1050,0.0,-0.0007047818577120779,259452.475,-1.2721669971942902,7.49826431274414e-05,0.0003,121053.484375
276,107,38,10700,326250.0,0.0012241723,0.2,1060,0.0,-0.007567475126052159,134966.339453125,-1.270809292793274,2.2649765014648438e-06,0.0003,63974.5234375
276,108,39,10800,330673.0,0.00033766433,0.2,1070,0.0,-0.001246951348366565,226139.85703125,-1.2844224154949189,7.212162017822266e-06,0.0003,121779.5234375
276,109,39,10900,332505.0,3.7732483e-05,0.2,1080,0.0,-0.0002668234910970568,502986.99375,-1.2984556019306184,1.8715858459472656e-05,0.0003,285773.15625
276,110,39,11000,335529.0,0.00027103603,0.2,1090,0.0,-0.003200057925641886,83697.7896484375,-1.2965250849723815,-0.00025534629821777344,0.0003,40634.9453125
276,111,40,11100,338675.0,0.0003175399,0.2,1100,0.0,-0.0031551649604807607,250261.91171875,-1.3014646410942077,0.00034934282302856445,0.0003,117552.421875
276,112,40,11200,341754.0,8.920331e-05,0.2,1110,0.0,-0.0011630602755758445,221073.21640625,-1.3140465140342712,8.130073547363281e-05,0.0003,104223.671875
276,113,40,11300,344212.0,6.553142e-05,0.2,1120,0.0,-0.0009182425438666542,198037.3640625,-1.2990647733211518,0.00034546852111816406,0.0003,108735.4296875
277,114,41,11400,347446.0,0.00022040085,0.2,1130,0.0,-0.0031725508684758096,189171.73046875,-1.2917603135108948,0.00017219781875610352,0.0003,105212.2734375
277,115,41,11500,350434.0,0.00017772718,0.2,1140,0.0,-0.0016791522790299495,375348.4484375,-1.292661762237549,3.260374069213867e-05,0.0003,186999.140625
277,116,41,11600,353599.0,5.3845604e-05,0.2,1150,0.0,-0.0010155861327802995,257369.33125,-1.2999676406383514,6.872415542602539e-05,0.0003,131739.25
277,117,42,11700,355590.0,2.2432198e-05,0.2,1160,0.0,-0.0004122872028801794,248894.6171875,-1.2897549748420716,8.940696716308594e-07,0.0003,140373.109375
277,118,42,11800,358651.0,0.00027192332,0.2,1170,0.0,-0.002070423520854092,90927.99375,-1.301897758245468,8.124113082885742e-05,0.0003,50368.51171875
277,119,42,11900,363448.0,0.0001856634,0.2,1180,0.0,-0.001291249233236158,195739.44921875,-1.2914089798927306,0.00010198354721069336,0.0003,96643.671875
277,120,43,12000,365421.0,2.6737496e-05,0.2,1190,0.0,-0.00026229161530864074,522475.7640625,-1.2961623251438141,5.5789947509765625e-05,0.0003,225062.8125
277,121,43,12100,369071.0,0.00032597652,0.2,1200,0.0,-0.003266233276735875,143757.065234375,-1.2982431530952454,-3.409385681152344e-05,0.0003,50975.234375
277,122,44,12200,372447.0,0.00020873261,0.2,1210,0.0,-0.0019233322945183319,316448.25859375,-1.3071309030056,4.649162292480469e-06,0.0003,151063.375
277,123,44,12300,375172.0,0.0003497476,0.2,1220,0.0,-0.0025368727947352454,237033.55078125,-1.316176563501358,0.0001379251480102539,0.0003,112517.484375
277,124,44,12400,377811.0,0.00014749993,0.2,1230,0.0,-0.0016334371884113353,174396.10546875,-1.2994622707366943,2.849102020263672e-05,0.0003,93288.8828125
277,125,45,12500,379427.0,0.00016252077,0.2,1240,0.0,-0.0015772360007758834,202101.23203125,-1.2970937371253968,0.0001881122589111328,0.0003,104296.46875
277,126,45,12600,383943.0,0.0004462901,0.2,1250,0.0,-0.002654065185561194,112431.26640625,-1.2944395661354064,4.106760025024414e-05,0.0003,72017.1171875
277,127,45,12700,387127.0,0.00018275483,0.2,1260,0.0,-0.0008032551762880757,525404.2109375,-1.2788355350494385,2.0742416381835938e-05,0.0003,209787.078125
277,128,46,12800,389808.0,0.000118127195,0.2,1270,0.0,-0.0016674826911184937,340315.0625,-1.292283284664154,1.3709068298339844e-06,0.0003,136608.734375
277,129,46,12900,392648.0,8.1632024e-05,0.2,1280,0.0,-0.0013078376541670877,149436.0390625,-1.2852565944194794,0.0007061362266540527,0.0003,99999.7265625
277,130,46,13000,395434.0,6.679472e-05,0.2,1290,0.0,-0.0008696207092725672,231351.19296875,-1.2926801800727845,1.919269561767578e-05,0.0003,128187.6796875
277,131,47,13100,398304.0,0.0001621177,0.2,1300,0.0,-0.0019367849261470837,220280.35703125,-1.2785748183727264,2.682209014892578e-05,0.0003,90704.6015625
277,132,47,13200,401008.0,9.2710005e-05,0.2,1310,0.0,-0.001182069232163485,204252.034375,-1.3208016812801362,0.00033295154571533203,0.0003,98551.9453125
277,133,47,13300,402844.0,0.00018409235,0.2,1320,0.0,-0.001920002861879766,188213.480078125,-1.2955985248088837,0.00019800662994384766,0.0003,94001.234375
277,134,48,13400,406098.0,0.0002024676,0.2,1330,0.0,-0.0024058741379121783,67740.7509765625,-1.2820361018180848,0.00018799304962158203,0.0003,31553.111328125
277,135,48,13500,408786.0,0.00023445483,0.2,1340,0.0,-0.0025824582893619664,227923.81484375,-1.2536058843135833,5.078315734863281e-05,0.0003,122101.171875
277,136,48,13600,411278.0,0.0002346848,0.2,1350,0.0,-0.002019107452360913,228069.596875,-1.2702480018138886,8.428096771240234e-05,0.0003,111202.453125
277,137,49,13700,413931.0,0.00012560505,0.2,1360,0.0,-0.00202155823862995,150020.37578125,-1.2796527981758117,4.392862319946289e-05,0.0003,67284.609375
277,138,49,13800,416770.0,0.00011306577,0.2,1370,0.0,-0.0010708333356888033,224986.34140625,-1.2458973348140716,0.00022971630096435547,0.0003,106433.6640625
277,139,50,13900,419644.0,0.0001457633,0.2,1380,0.0,-0.0012019469396364001,207183.18046875,-1.2386520624160766,0.00037217140197753906,0.0003,98431.1328125
277,140,50,14000,422819.0,0.00031872906,0.2,1390,0.0,-0.00330688370995631,219991.4515625,-1.2577915251255036,1.8298625946044922e-05,0.0003,113887.7578125
277,141,50,14100,424985.0,0.00052082294,0.2,1400,0.0,-0.004186014401238935,267756.15546875,-1.2655695259571076,1.1324882507324219e-06,0.0003,129377.3984375
277,142,51,14200,427645.0,0.00038581592,0.2,1410,0.0,-0.0032329614579793995,128268.399609375,-1.2706299662590026,3.993511199951172e-06,0.0003,47890.87109375
277,143,51,14300,431116.0,0.00022837722,0.2,1420,0.0,-0.002672971897845855,132572.20859375,-1.2563157379627228,-1.3589859008789062e-05,0.0003,64500.296875
277,144,51,14400,433608.0,7.744972e-05,0.2,1430,0.0,-0.00032091514826788626,360243.6484375,-1.2591087460517882,3.999471664428711e-05,0.0003,223729.703125
277,145,52,14500,437085.0,8.999437e-05,0.2,1440,0.0,-0.0011668087552607175,190725.8625,-1.2939225554466247,0.00010210275650024414,0.0003,88501.4296875
277,146,52,14600,440286.0,7.016015e-05,0.2,1450,0.0,-0.00034348278750258033,405784.3328125,-1.2547915995121002,2.7418136596679688e-06,0.0003,217899.359375
277,147,52,14700,443142.0,5.7527017e-05,0.2,1460,0.0,-0.0010288448556821095,254715.56015625,-1.2387976169586181,6.222724914550781e-05,0.0003,137261.328125
277,148,53,14800,445557.0,3.2536067e-05,0.2,1470,0.0,-0.0007311032573852572,238302.00546875,-1.2467739880084991,0.00013631582260131836,0.0003,102104.0078125
